comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,bandwidths(Mbs),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,71,1,0,5,10000,10000,100,1,0,1,1,0.014969,,0.283826,23.713332,24.180679,24.191666,4607,29,24180.679,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,100,1,0,1,1,0.014819,,0.283072,23.720799,24.174943,24.189166,4602,29,24174.943,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,100,1,0,1,1,0.018393,,0.282475,23.729445,24.195925,24.209583,4747,29,24195.925,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,1000,1,0,1,1,0.017935,,0.190584,2.48494,2.769763,2.783333,4570,174,2769.7630000000004,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,1000,1,0,1,1,0.018075,,0.186097,2.550492,2.758612,2.773333,4561,170,2758.6119999999996,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,1000,1,0,1,1,0.014262,,0.18145,2.475473,2.746452,2.75875,4564,167,2746.452,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,10000,1,0,1,1,0.015321,,0.161957,0.461713,0.539343,0.556666,4097,749,539.343,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,10000,1,0,1,1,0.016639,,0.162923,0.568038,0.662619,0.6775,4183,617,662.6189999999999,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,10000,1,0,1,1,0.016782,,0.16524,0.569173,0.665852,0.677916,4196,625,665.852,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,25000,1,0,1,1,0.017707,,0.169809,0.484799,0.533021,0.544583,3406,802,533.021,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,25000,1,0,1,1,0.01602,,0.16936,0.522395,0.536432,0.547916,3329,790,536.432,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,25000,1,0,1,1,0.009672,,0.171437,0.523666,0.535988,0.546666,3570,803,535.988,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,100,1,0,1,1,0.018399,,0.272267,23.741131,24.099247,24.117083,4745,28,24099.247,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,100,1,0,1,1,0.018345,,0.270283,23.646731,24.08041,24.0925,4746,28,24080.41,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,100,1,0,1,1,0.019022,,0.27178,23.365018,24.079226,24.09,4748,28,24079.226,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,1000,1,0,1,1,0.017086,,0.173244,2.240195,2.48258,2.492916,4587,178,2482.58,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,1000,1,0,1,1,0.017868,,0.174364,2.242648,2.485625,2.49625,4582,178,2485.625,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,1000,1,0,1,1,0.018046,,0.168948,2.237709,2.475236,2.487916,4547,175,2475.2360000000003,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,10000,1,0,1,1,0.017723,,0.15295,0.335731,0.351156,0.368333,4275,1077,351.156,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,10000,1,0,1,1,0.016145,,0.150997,0.339759,0.352217,0.366666,4237,1069,352.217,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,10000,1,0,1,1,0.018506,,0.152471,0.339277,0.358178,0.37125,4095,1058,358.178,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,25000,1,0,1,1,0.016623,,0.16671,0.217,0.226658,0.241666,3310,1762,226.658,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,25000,1,0,1,1,0.017728,,0.157587,0.214462,0.222739,0.24,3380,1693,222.739,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,71,1,1,5,10000,10000,25000,1,0,1,1,0.017934,,0.166038,0.217048,0.222669,0.239166,3456,1784,222.669,ResNet50 - Bandwidth Optimized,Quantized,ResNet50 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,100,1,0,1,1,0.014454,,0.282517,23.556627,24.927589,24.94,4703,28,24927.589,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,100,1,0,1,1,0.017836,,0.268261,23.980164,24.955557,24.967916,4845,26,24955.557,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,100,1,0,1,1,0.018169,,0.283393,24.007097,24.93587,24.948333,4847,28,24935.870000000003,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,1000,1,0,1,1,0.017768,,0.170145,2.194318,2.502293,2.512916,4657,173,2502.2929999999997,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,1000,1,0,1,1,0.018527,,0.17197,2.219908,2.499621,2.512916,4651,176,2499.621,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,1000,1,0,1,1,0.016213,,0.166869,2.14464,2.496363,2.510416,4655,170,2496.3630000000003,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,10000,1,0,1,1,0.017011,,0.143385,0.256239,0.270932,0.285,4348,1306,270.932,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,10000,1,0,1,1,0.01852,,0.139323,0.252732,0.268455,0.285833,4377,1279,268.455,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,10000,1,0,1,1,0.017274,,0.141009,0.254706,0.270176,0.283333,4239,1291,270.17600000000004,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,25000,1,0,1,1,0.019025,,0.153265,0.131925,0.137583,0.154583,3258,2560,137.583,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,25000,1,0,1,1,0.016385,,0.158719,0.133387,0.139754,0.155416,3460,2611,139.754,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,0,5,10000,10000,25000,1,0,1,1,0.018939,,0.151608,0.131917,0.140182,0.153333,3586,2534,140.182,ResNet50 - Balanced,Non-Quantized,ResNet50 - Balanced - Non-Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,100,1,0,1,1,0.017978,,0.272978,23.283817,24.166494,24.184583,4779,28,24166.494,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,100,1,0,1,1,0.015882,,0.272666,23.326008,24.170405,24.185416,4792,28,24170.405,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,100,1,0,1,1,0.014319,,0.264968,23.711432,24.168365,24.18,4632,27,24168.365,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,1000,1,0,1,1,0.017375,,0.169907,2.098543,2.419942,2.434166,4581,179,2419.942,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,1000,1,0,1,1,0.017796,,0.166938,2.112605,2.422205,2.435416,4598,176,2422.205,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,1000,1,0,1,1,0.016743,,0.164708,2.160931,2.418463,2.434166,4602,175,2418.463,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,10000,1,0,1,1,0.015951,,0.141202,0.255478,0.266809,0.278333,4149,1307,266.809,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,10000,1,0,1,1,0.017309,,0.141005,0.250611,0.262503,0.2775,4289,1317,262.503,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,10000,1,0,1,1,0.013567,,0.140303,0.253186,0.261988,0.27375,4129,1331,261.988,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,25000,1,0,1,1,0.016221,,0.15187,0.130405,0.137868,0.14875,3227,2632,137.868,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,25000,1,0,1,1,0.014451,,0.147942,0.13132,0.137751,0.149166,3227,2540,137.751,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,171,1,1,5,10000,10000,25000,1,0,1,1,0.018131,,0.152291,0.130161,0.133845,0.151666,3466,2585,133.845,ResNet50 - Balanced,Quantized,ResNet50 - Balanced - Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,100,1,0,1,1,0.052765,,0.278822,24.142563,24.845324,24.859166,4790,28,24845.324,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,100,1,0,1,1,0.018196,,0.270781,24.254994,24.856244,24.86625,4792,27,24856.244,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,100,1,0,1,1,0.016278,,0.283698,24.201435,24.845222,24.858333,4800,28,24845.221999999998,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,1000,1,0,1,1,0.01424,,0.170886,2.174859,2.489177,2.5,4610,174,2489.177,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,1000,1,0,1,1,0.017276,,0.169567,2.158011,2.488507,2.499583,4610,173,2488.5069999999996,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,1000,1,0,1,1,0.017553,,0.173442,2.198567,2.494294,2.505416,4611,177,2494.294,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,10000,1,0,1,1,0.016589,,0.146631,0.260685,0.271112,0.285,4140,1338,271.112,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,10000,1,0,1,1,0.018553,,0.144118,0.262862,0.280376,0.290833,4358,1284,280.37600000000003,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,10000,1,0,1,1,0.013503,,0.145536,0.261257,0.270169,0.284166,4254,1316,270.169,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,25000,1,0,1,1,0.014495,,0.152872,0.133319,0.14034,0.151666,3353,2598,140.34,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,25000,1,0,1,1,0.010133,,0.152294,0.134448,0.141372,0.152083,3399,2567,141.37199999999999,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,25000,1,0,1,1,0.018916,,0.157385,0.13432,0.138737,0.152916,3530,2661,138.737,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,100,1,0,1,1,0.018142,,0.270972,23.684624,24.206343,24.219166,4779,28,24206.343,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,100,1,0,1,1,0.017744,,0.2735,23.751813,24.194432,24.21375,4770,28,24194.432,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,100,1,0,1,1,0.010349,,0.270303,23.629076,24.196606,24.2075,4624,27,24196.606,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,1000,1,0,1,1,0.010089,,0.164663,2.105368,2.423936,2.435,4600,173,2423.9359999999997,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,1000,1,0,1,1,0.016649,,0.170644,2.145518,2.423493,2.436666,4612,179,2423.493,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,1000,1,0,1,1,0.010198,,0.171875,2.12204,2.421973,2.435,4592,180,2421.973,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,10000,1,0,1,1,0.014181,,0.141367,0.257602,0.266083,0.277916,4076,1320,266.083,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,10000,1,0,1,1,0.014358,,0.14642,0.255687,0.262988,0.277083,4193,1363,262.988,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,10000,1,0,1,1,0.010825,,0.147845,0.258705,0.264905,0.27625,4073,1384,264.90500000000003,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,25000,1,0,1,1,0.018742,,0.147863,0.129924,0.137776,0.152083,3146,2524,137.776,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,25000,1,0,1,1,0.017894,,0.153299,0.130277,0.138447,0.152916,3532,2612,138.44699999999997,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,25000,1,0,1,1,0.018031,,0.152139,0.131128,0.135822,0.152083,3181,2562,135.822,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,100,1,0,1,1,0.012627,,0.214721,15.556906,16.265518,16.28,3157,32,16265.518,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,100,1,0,1,1,0.012577,,0.214523,15.770376,16.275693,16.28375,3123,32,16275.693000000001,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,100,1,0,1,1,0.012166,,0.213085,15.57979,16.293745,16.305,3121,32,16293.745,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,1000,1,0,1,1,0.012561,,0.143475,1.52133,1.692327,1.70125,3096,215,1692.327,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,1000,1,0,1,1,0.007427,,0.145176,1.511796,1.69055,1.69875,3099,216,1690.55,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,1000,1,0,1,1,0.012017,,0.146153,1.507217,1.689096,1.697916,3093,218,1689.096,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,10000,1,0,1,1,0.012312,,0.119226,0.231457,0.243642,0.254583,2756,1192,243.642,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,10000,1,0,1,1,0.012337,,0.119532,0.230431,0.248153,0.256666,2945,1192,248.15300000000002,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,10000,1,0,1,1,0.011835,,0.11814,0.213734,0.230352,0.242916,2966,1252,230.352,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,25000,1,0,1,1,0.012112,,0.136004,0.143662,0.167921,0.175,2320,1959,167.921,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,25000,1,0,1,1,0.0122,,0.131532,0.15774,0.17245,0.183333,2284,1812,172.45,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,25000,1,0,1,1,0.009347,,0.134541,0.164963,0.185854,0.194166,2383,1748,185.85399999999998,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,100,1,0,1,1,0.012491,,0.210074,15.593575,16.239761,16.2525,3121,32,16239.761000000002,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,100,1,0,1,1,0.012935,,0.211341,15.747621,16.255456,16.2625,3152,32,16255.455999999998,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,100,1,0,1,1,0.012474,,0.212051,15.795093,16.256257,16.26375,3155,32,16256.257000000001,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,1000,1,0,1,1,0.011868,,0.138242,1.422541,1.652341,1.66,3089,210,1652.3410000000001,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,1000,1,0,1,1,0.012308,,0.140874,1.451334,1.65181,1.660833,3088,216,1651.81,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,1000,1,0,1,1,0.012056,,0.139948,1.416025,1.655249,1.6625,3097,212,1655.249,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,10000,1,0,1,1,0.012244,,0.113308,0.190447,0.204231,0.216666,2817,1357,204.231,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,10000,1,0,1,1,0.011695,,0.116115,0.191254,0.203586,0.2125,2890,1394,203.58599999999998,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,10000,1,0,1,1,0.012051,,0.114383,0.188931,0.207251,0.217083,2915,1340,207.251,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25000,1,0,1,1,0.011903,,0.129799,0.126706,0.138094,0.147916,2207,2227,138.094,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25000,1,0,1,1,0.012787,,0.130405,0.124281,0.13231,0.139583,2268,2365,132.31,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25000,1,0,1,1,0.012039,,0.133064,0.126024,0.136799,0.144166,2319,2346,136.799,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,100,1,0,1,1,0.012307,,0.220982,16.357699,17.597896,17.60625,3279,31,17597.895999999997,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
