comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,1,0,1,1,0.01737,,0.172487,0.522238,0.534028,0.545833,3572,813,534.0279999999999,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,1,0,1,1,0.017705,,0.166364,0.521575,0.533515,0.552916,3205,772,533.515,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,1,0,1,1,0.017841,,0.168621,0.451346,0.530383,0.54625,3403,790,530.383,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,25,1,0,1,1,0.020064,,0.165493,4.882408,4.897482,4.916666,4494,87,4897.482,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,25,1,0,1,1,0.019077,,0.166302,4.882062,4.891575,4.90875,4494,88,4891.575,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,25,1,0,1,1,0.018999,,0.165297,4.884502,4.89648,4.912083,4494,87,4896.4800000000005,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,50,1,0,1,1,0.02441,,0.161737,9.630444,9.659379,9.676666,4562,43,9659.378999999999,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,50,1,0,1,1,0.019981,,0.165434,9.631456,9.657311,9.674583,4556,43,9657.311,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,50,1,0,1,1,0.023818,,0.164216,9.632768,9.661425,9.683333,4562,43,9661.425,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,75,1,0,1,1,0.029858,,0.164049,14.377221,14.418833,14.445833,4581,29,14418.832999999999,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
