comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),bandwidths(Mbs),input_size,preprocess,splitroles,packetdrops(%),verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.016338,,0.165894,0.448425,0.530215,0.547083,3277,781,530.215,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.009788,,0.165649,0.473517,0.53679,0.547083,3271,774,536.79,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.018172,,0.169353,0.482477,0.529984,0.548333,3187,789,529.984,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.051708,,0.159882,0.710416,0.796551,0.84625,4110,484,796.551,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.055982,,0.156726,0.762372,0.877417,0.932083,4066,431,877.417,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.056797,,0.157085,0.752487,0.928535,0.939166,3629,430,928.535,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.055022,,0.1552,1.129039,1.351329,1.363333,4187,292,1351.329,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.058712,,0.153283,1.115116,1.267922,1.3225,4091,298,1267.922,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.058435,,0.155474,1.137318,1.304148,1.318333,4259,304,1304.1480000000001,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,71,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.177505,,0.164417,3.296718,3.822146,3.958333,4558,106,3822.146,ResNet50 - Bandwidth Optimized,Non-Quantized,ResNet50 - Bandwidth Optimized - Non-Quantized
