comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;71;1;0;5;10000;10000;100;1;0;1;1;.014969;NA;.283826;23.713332;24.180679;24.191666;4607;29
0.02;3;1;0;4;512;71;1;0;5;10000;10000;100;1;0;1;1;.014819;NA;.283072;23.720799;24.174943;24.189166;4602;29
0.02;3;1;0;4;512;71;1;0;5;10000;10000;100;1;0;1;1;.018393;NA;.282475;23.729445;24.195925;24.209583;4747;29
0.02;3;1;0;4;512;71;1;0;5;10000;10000;1000;1;0;1;1;.017935;NA;.190584;2.484940;2.769763;2.783333;4570;174
0.02;3;1;0;4;512;71;1;0;5;10000;10000;1000;1;0;1;1;.018075;NA;.186097;2.550492;2.758612;2.773333;4561;170
0.02;3;1;0;4;512;71;1;0;5;10000;10000;1000;1;0;1;1;.014262;NA;.181450;2.475473;2.746452;2.758750;4564;167
0.02;3;1;0;4;512;71;1;0;5;10000;10000;10000;1;0;1;1;.015321;NA;.161957;.461713;.539343;.556666;4097;749
0.02;3;1;0;4;512;71;1;0;5;10000;10000;10000;1;0;1;1;.016639;NA;.162923;.568038;.662619;.677500;4183;617
0.02;3;1;0;4;512;71;1;0;5;10000;10000;10000;1;0;1;1;.016782;NA;.165240;.569173;.665852;.677916;4196;625
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25000;1;0;1;1;.017707;NA;.169809;.484799;.533021;.544583;3406;802
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25000;1;0;1;1;.016020;NA;.169360;.522395;.536432;.547916;3329;790
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25000;1;0;1;1;.009672;NA;.171437;.523666;.535988;.546666;3570;803
0.02;3;1;0;4;512;71;1;1;5;10000;10000;100;1;0;1;1;.018399;NA;.272267;23.741131;24.099247;24.117083;4745;28
0.02;3;1;0;4;512;71;1;1;5;10000;10000;100;1;0;1;1;.018345;NA;.270283;23.646731;24.080410;24.092500;4746;28
0.02;3;1;0;4;512;71;1;1;5;10000;10000;100;1;0;1;1;.019022;NA;.271780;23.365018;24.079226;24.090000;4748;28
0.02;3;1;0;4;512;71;1;1;5;10000;10000;1000;1;0;1;1;.017086;NA;.173244;2.240195;2.482580;2.492916;4587;178
0.02;3;1;0;4;512;71;1;1;5;10000;10000;1000;1;0;1;1;.017868;NA;.174364;2.242648;2.485625;2.496250;4582;178
0.02;3;1;0;4;512;71;1;1;5;10000;10000;1000;1;0;1;1;.018046;NA;.168948;2.237709;2.475236;2.487916;4547;175
0.02;3;1;0;4;512;71;1;1;5;10000;10000;10000;1;0;1;1;.017723;NA;.152950;.335731;.351156;.368333;4275;1077
0.02;3;1;0;4;512;71;1;1;5;10000;10000;10000;1;0;1;1;.016145;NA;.150997;.339759;.352217;.366666;4237;1069
0.02;3;1;0;4;512;71;1;1;5;10000;10000;10000;1;0;1;1;.018506;NA;.152471;.339277;.358178;.371250;4095;1058
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25000;1;0;1;1;.016623;NA;.166710;.217000;.226658;.241666;3310;1762
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25000;1;0;1;1;.017728;NA;.157587;.214462;.222739;.240000;3380;1693
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25000;1;0;1;1;.017934;NA;.166038;.217048;.222669;.239166;3456;1784
