comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;1;0;1;1;.017370;NA;.172487;.522238;.534028;.545833;3572;813
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;1;0;1;1;.017705;NA;.166364;.521575;.533515;.552916;3205;772
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;1;0;1;1;.017841;NA;.168621;.451346;.530383;.546250;3403;790
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25;1;0;1;1;.020064;NA;.165493;4.882408;4.897482;4.916666;4494;87
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25;1;0;1;1;.019077;NA;.166302;4.882062;4.891575;4.908750;4494;88
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25;1;0;1;1;.018999;NA;.165297;4.884502;4.896480;4.912083;4494;87
0.02;3;1;0;4;512;71;1;0;5;10000;10000;50;1;0;1;1;.024410;NA;.161737;9.630444;9.659379;9.676666;4562;43
0.02;3;1;0;4;512;71;1;0;5;10000;10000;50;1;0;1;1;.019981;NA;.165434;9.631456;9.657311;9.674583;4556;43
0.02;3;1;0;4;512;71;1;0;5;10000;10000;50;1;0;1;1;.023818;NA;.164216;9.632768;9.661425;9.683333;4562;43
0.02;3;1;0;4;512;71;1;0;5;10000;10000;75;1;0;1;1;.029858;NA;.164049;14.377221;14.418833;14.445833;4581;29
0.02;3;1;0;4;512;71;1;0;5;10000;10000;75;1;0;1;1;.025232;NA;.164894;14.390548;14.431094;14.455416;4592;29
0.02;3;1;0;4;512;71;1;0;5;10000;10000;75;1;0;1;1;.022681;NA;.165535;14.384958;14.413675;14.436250;4580;29
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;1;0;1;1;.013586;NA;.155276;.215561;.226250;.237916;3127;1681
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;1;0;1;1;.016593;NA;.161583;.216278;.227117;.238750;3402;1748
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;1;0;1;1;.018242;NA;.156489;.217100;.224682;.237500;3205;1694
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25;1;0;1;1;.019852;NA;.149718;2.518903;2.533674;2.549583;4496;154
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25;1;0;1;1;.020941;NA;.151596;2.517727;2.527952;2.545833;4490;155
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25;1;0;1;1;.020685;NA;.149744;2.519358;2.530730;2.549166;4502;155
0.02;3;1;0;4;512;71;1;1;5;10000;10000;50;1;0;1;1;.021943;NA;.149729;4.937459;4.971644;4.997500;4599;77
0.02;3;1;0;4;512;71;1;1;5;10000;10000;50;1;0;1;1;.023548;NA;.150111;4.938634;4.957188;4.973750;4554;78
0.02;3;1;0;4;512;71;1;1;5;10000;10000;50;1;0;1;1;.022544;NA;.148902;4.936480;4.964231;4.985416;4552;78
0.02;3;1;0;4;512;71;1;1;5;10000;10000;75;1;0;1;1;.029986;NA;.149964;7.345101;7.385476;7.410000;4576;52
0.02;3;1;0;4;512;71;1;1;5;10000;10000;75;1;0;1;1;.025944;NA;.147716;7.356579;7.410064;7.437083;4578;51
0.02;3;1;0;4;512;71;1;1;5;10000;10000;75;1;0;1;1;.027795;NA;.150920;7.349820;7.389683;7.411666;4581;53
0.02;3;1;0;4;512;171;1;0;5;10000;10000;0;1;0;1;1;.016619;NA;.155526;.132649;.141880;.152500;3596;2629
0.02;3;1;0;4;512;171;1;0;5;10000;10000;0;1;0;1;1;.018246;NA;.148789;.132770;.140217;.152083;3332;2513
0.02;3;1;0;4;512;171;1;0;5;10000;10000;0;1;0;1;1;.018518;NA;.154262;.133306;.138372;.152500;3333;2611
0.02;3;1;0;4;512;171;1;0;5;10000;10000;25;1;0;1;1;.017561;NA;.151255;1.809102;1.817745;1.837083;4596;218
0.02;3;1;0;4;512;171;1;0;5;10000;10000;25;1;0;1;1;.018062;NA;.152087;1.811147;1.819919;1.838750;4588;217
0.02;3;1;0;4;512;171;1;0;5;10000;10000;25;1;0;1;1;.018716;NA;.152160;1.809527;1.822360;1.837916;4591;218
0.02;3;1;0;4;512;171;1;0;5;10000;10000;50;1;0;1;1;.022668;NA;.150084;3.610893;3.644843;3.663333;4656;107
0.02;3;1;0;4;512;171;1;0;5;10000;10000;50;1;0;1;1;.024798;NA;.149849;3.609251;3.633123;3.651250;4652;108
0.02;3;1;0;4;512;171;1;0;5;10000;10000;50;1;0;1;1;.021711;NA;.150892;3.606599;3.626909;3.646666;4652;107
0.02;3;1;0;4;512;171;1;0;5;10000;10000;75;1;0;1;1;.025186;NA;.150862;5.411266;5.455878;5.476666;4680;71
0.02;3;1;0;4;512;171;1;0;5;10000;10000;75;1;0;1;1;.019086;NA;.149865;5.405395;5.461727;5.482500;4674;70
0.02;3;1;0;4;512;171;1;0;5;10000;10000;75;1;0;1;1;.025448;NA;.150701;5.401538;5.440193;5.463333;4720;71
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;1;0;1;1;.016224;NA;.153557;.131281;.140411;.150833;3334;2603
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;1;0;1;1;.017152;NA;.154450;.128974;.137703;.148333;3290;2661
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;1;0;1;1;.013996;NA;.155015;.130024;.135465;.147916;3398;2695
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25;1;0;1;1;.020632;NA;.147114;1.819552;1.828737;1.850833;4527;208
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25;1;0;1;1;.019764;NA;.147521;1.819161;1.828188;1.844583;4533;210
