comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;0;1;.016338;NA;.165894;.448425;.530215;.547083;3277;781
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;0;1;.009788;NA;.165649;.473517;.536790;.547083;3271;774
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;0;1;.018172;NA;.169353;.482477;.529984;.548333;3187;789
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;1;1;.051708;NA;.159882;.710416;.796551;.846250;4110;484
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;1;1;.055982;NA;.156726;.762372;.877417;.932083;4066;431
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;1;1;.056797;NA;.157085;.752487;.928535;.939166;3629;430
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;2;1;.055022;NA;.155200;1.129039;1.351329;1.363333;4187;292
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;2;1;.058712;NA;.153283;1.115116;1.267922;1.322500;4091;298
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;2;1;.058435;NA;.155474;1.137318;1.304148;1.318333;4259;304
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;5;1;.177505;NA;.164417;3.296718;3.822146;3.958333;4558;106
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;5;1;.133558;NA;.164136;3.499773;4.158367;4.173750;4530;101
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;25000;1;0;1;5;1;.134826;NA;.166369;3.433805;4.501966;4.558750;4504;93
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;0;1;.015744;NA;.159329;.218311;.230694;.241250;3328;1691
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;0;1;.016657;NA;.162587;.217379;.227768;.239583;3477;1753
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;0;1;.014817;NA;.165025;.219585;.230648;.244166;3456;1728
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;1;1;.138787;NA;.136441;.301973;.404446;.414583;4150;856
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;1;1;.053276;NA;.150178;.316388;.362942;.416666;3796;928
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;1;1;.054968;NA;.138445;.316288;.384486;.400416;3632;894
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;2;1;.094801;NA;.140445;.439393;.550800;.602916;4170;603
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;2;1;.139135;NA;.136857;.421335;.510210;.581250;4033;611
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;2;1;.139628;NA;.132730;.446853;.512277;.623333;4067;553
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;25000;1;0;1;5;1;.132795;NA;.150005;1.739652;2.222952;2.300833;4530;168
