Layer: 0, Layer Type: CONV2D
Layer: 1, Layer Type: BATCHNORM2D
Layer: 2, Layer Type: CONV2D
Layer: 3, Layer Type: BATCHNORM2D
Layer: 4, Layer Type: CONV2D
Layer: 5, Layer Type: BATCHNORM2D
Layer: 6, Layer Type: CONV2D
Layer: 7, Layer Type: BATCHNORM2D
Layer: 8, Layer Type: CONV2D
Layer: 9, Layer Type: BATCHNORM2D
Layer: 10, Layer Type: CONV2D
Layer: 11, Layer Type: BATCHNORM2D
Layer: 12, Layer Type: CONV2D
Layer: 13, Layer Type: BATCHNORM2D
Layer: 14, Layer Type: CONV2D
Layer: 15, Layer Type: BATCHNORM2D
Layer: 16, Layer Type: CONV2D
Layer: 17, Layer Type: BATCHNORM2D
Layer: 18, Layer Type: CONV2D
Layer: 19, Layer Type: BATCHNORM2D
Layer: 20, Layer Type: CONV2D
Layer: 21, Layer Type: BATCHNORM2D
Layer: 22, Layer Type: CONV2D
Layer: 23, Layer Type: BATCHNORM2D
Layer: 24, Layer Type: CONV2D
Layer: 25, Layer Type: BATCHNORM2D
Layer: 26, Layer Type: CONV2D
Layer: 27, Layer Type: BATCHNORM2D
Layer: 28, Layer Type: CONV2D
Layer: 29, Layer Type: BATCHNORM2D
Layer: 30, Layer Type: CONV2D
Layer: 31, Layer Type: BATCHNORM2D
Layer: 32, Layer Type: CONV2D
Layer: 33, Layer Type: BATCHNORM2D
Layer: 34, Layer Type: CONV2D
Layer: 35, Layer Type: BATCHNORM2D
Layer: 36, Layer Type: CONV2D
Layer: 37, Layer Type: BATCHNORM2D
Layer: 38, Layer Type: CONV2D
Layer: 39, Layer Type: BATCHNORM2D
Layer: 40, Layer Type: LINEAR
